Column,Title,Wheelchair access,Description,Address 1,Address 2,Suburb,State,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal state,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Notes,Operating hours,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services
JAG,Nanango QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Nanango Courthouse,30 Henry Street,Nanango,QLD,4615,PO Box 72,,Nanango,QLD,4615,-26.670634,152.002425,4163 1165,4163 1083,courthouse.nanango@justice.qld.gov.au,,,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,,,,,,
JAG,Normanton QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Normanton Courthouse,24 Haig Street,Normanton,QLD,4890,PO Box 23,,Normanton,QLD,4890,-17.668241,141.079622,4745 1177,,courthouse.normanton@justice.qld.gov.au,No new vehicle registrations after 4pm,,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,,,,,,
TRAN,North Stradbroke Island QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,5 Ballow Street,,Dunwich ,QLD,4183,PO Box 42,,Dunwich ,QLD,4183,-27.499602,153.403471,3409 9906,3409 9431,stradbroke@tmr.qld.gov.au,,,,,8:30-13:00,13:30-15:30,,,8:30-13:00,13:30-15:30,,,,,,,,
JAG,Oakey QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,73 Campbell Street,,Oakey,QLD,4401,PO Box 243,,Oakey,QLD,4401,-27.4344096,151.7184996,4692 5300,4691 1250,,,,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:30-13:00,14:00-16:30,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,,,
JAG,Pittsworth QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Pittsworth Courthouse,77 Yandilla St,Pittsworth,QLD,4356,PO Box 20,,Pittsworth,QLD,4356,-27.715161,151.633825,4693 1168,4693 2348,courthouse.pittsworth@justice.qld.gov.au,No new vehicle registrations after 3:30pm,,8:30-13:00,13:30-16:00,8:30-13:00,13:30-16:00,8:30-13:00,13:30-16:00,8:30-13:00,13:30-16:00,8:30-13:00,13:30-16:00,,,,,,
DME,Quilpie QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Court House,Buln Buln Street,Quilpie,QLD,4480,PO Box 29,,Quilpie,QLD,4480,-26.613066,144.26881,4656 1266,,quilpie.qgap@qld.gov.au,,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,
HOU,Ravenshoe QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,27-29 Grigg Street,,Ravenshoe,QLD,4888,PO Box 43,,Ravenshoe,QLD,4888,-17.604665,145.481041,4097 6660,4097 6830,trevor.wellman@hpw.qld.gov.au,,,9:00-13:00,13:30-16:00,9:00-13:00,13:30-16:00,9:00-13:00,13:30-16:00,9:00-13:00,13:30-16:00,9:00-13:00,13:30-16:00,,,,,,
JAG,Richmond QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Richmond Courthouse,53 Goldring Street,Richmond,QLD,4822,PO Box 17,,Richmond,QLD,4822,-20.726635,143.14002,4741 3227,4741 3721,courthouse.richmond@justice.qld.gov.au,,,10:00,14:30,10:00,14:30,10:00,14:30,10:00,14:30,10:00,14:30,,,,,,
JAG,Sarina QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Sarina Courthouse,Broad Street,Sarina,QLD,4737,PO Box 462,,Sarina,QLD,4737,-21.419526,149.216241,4956 1820,4943 1009,courthouse.sarina@justice.qld.gov.au,No new vehicle registrations after 3:45pm,,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,,,,,,
JAG,Springsure QGAP,No,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Springsure Courthouse,Eclipse Street,Springsure,QLD,4722,PO Box 68,,Springsure,QLD,4722,-24.113953,148.089221,4984 1433,4984 1368,courthouse.springsure@justice.qld.gov.au,No new vehicle registrations after 3:45pm,,8:30-12:30,13:15-16:30,,,8:30-12:30,13:15-16:30,,,8:30-12:30,13:15-16:30,,,,,,
JAG,St George QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,St George Courthouse,The Terrace,St George,QLD,4487,PO Box 266,,St George,QLD,4487,-28.033013,148.583176,4625 3266,4625 3180,courthouse.stgeorge@justice.qld.gov.au,"No new vehicle registrations after 3:30pm
No new vehicle registrations before 9.30am Wednesdays 
Please call ahead to check unexpected closures 
",,8:30-12:30,14:00-16:30,8:30-12:30,14:00-16:30,8:30-12:30,14:00-16:30,8:30-12:30,14:00-16:30,8:30-12:30,14:00-16:30,,,,,,
TRAN,Stanthorpe QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,51 Marsh Street,,Stanthorpe,QLD,4380,PO Box 452,,Stanthorpe,QLD,4380,-28.652483,151.934103,4681 4965,4681 4971,stanthorpeqgap@tmr.qld.gov.au,,,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:30-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,,,
RRC,Surat QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,62 Burrowes Street,,Surat,QLD,4417,62 Burrowes Street,,Surat,QLD,4417,-27.151861,149.068292,4626 5523,4626 5256,surat.qgap@qld.gov.au,"Vehicle measure ups by appointment only
No new vehicle registrations after 4.00 pm
",,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,
WDRC,Tara QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,19 Fry Street,,Tara,QLD,4421,19 Fry Street,,Tara,QLD,4421,-27.27819,150.459633,4665 3130,4665 3130,tara.qgap@qld.gov.au,No financial transactions receipted after 3.45pm,,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,,,
JAG,Taroom QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Taroom Courthouse,33 Yaldwyn Street,Taroom,QLD,4420,PO Box 2,,Taroom,QLD,4420,-25.640685,149.79531,4627 3106,4627 3357,courthouse.taroom@justice.qld.gov.au,,,08:30-13:00,14:00-16:00,08:30-13:00,14:00-16:00,08:30-13:00,14:00-16:00,08:30-13:00,14:00-16:00,08:30-13:00,14:00-16:00,,,,,,
TRAN,Texas QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,32 Cadell Street,,Texas,QLD,4385,PO Box 156,,Texas,QLD,4385,-28.853845,151.169534,4653 1251,4653 1265,qgtexas@tmr.qld.gov.au,,,,12:00-16:00,9:00,13:00,,12:00-16:00,9:00,13:00,,12:00-16:00,,,,,,
POL,Thargomindah QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Police Station,Dowling Street,Thargomindah,QLD,4492,PO Box 204,,Thargomindah,QLD,4492,-27.996239,143.821846,4655 3291,4655 3224,QGAPThargomindah@police.qld.gov.au,After Office hours ph 4655 3200,,8:00,12:00,,,8:00,16:00,,,8:00,16:00,,,,,,
JAG,Thursday Island QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Thursday Island Courthouse ,Douglas Street,Thursday Island,QLD,4875,PO Box 5,,Thursday Island,QLD,4875,-10.584875,142.214044,4069 1503,4069 1438,,,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,
JAG,Toogoolawah QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,"Toogoolawah Courthouse, Hopkins Place",Gardner Street,Toogoolawah,QLD,4313,"Toogoolawah Courthouse, Hopkins Place",Gardner Street,Toogoolawah,QLD,4313,-27.0879,152.379463,5423 1522,5423 1473,courthouse.toogoolawah@justice.qld.gov.au,Clients are advised to ring first before attending at this office to ensure services are available,,9:00-12:45,14:00-16:00,9:00-12:45,14:00-16:00,9:00-12:45,14:00-16:00,9:00-12:45,14:00-16:00,9:00-12:45,14:00-16:00,,,,,,
JAG,Tully QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Tully Courthouse,46 Bryant St,Tully,QLD,4854,PO BOX 229,,Tully,QLD,4854,-17.935826,145.922833,4068 1065,4068 3288,courthouse.tully@justice.qld.gov.au,No Transport services available on Thursdays,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,
WPO,Wandoan QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Post Office,11 Lawton Street,Wandoan,QLD,4419,C/- Post Office,,Wandoan,QLD,4419,-26.120909,149.961034,4627 5400,4627 5400,wandoan.qgap@qld.gov.au,,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,
JAG,Weipa QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Weipa Courthouse,Central Avenue,Weipa,QLD,4874,PO Box 109,,Weipa,QLD,4874,-12.623179,141.880209,4069 9999,4069 9160,courthouse.weipa@justice.qld.gov.au,No new vehicle registrations after 4pm.,,8:30,13:30,8:30,13:30,8:30,13:30,8:30,13:30,8:30,13:30,,,,,,
POL,Windorah QGAP,No,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Police Station,Victoria Street,Windorah ,QLD,4481,Police Station,Victoria Street,Windorah ,QLD,4481,-25.419769,142.653596,4656 3171,4656 3172,QGAPWindorah@police.qld.gov.au,,,,14:00-17:00,,13:30-17:00,8:00-11:30,,,13:30-17:00,,13.30-16.00,,,,,,
TRAN,Winton QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Courthouse,59 Vindex Street,Winton ,QLD,4735,PO Box 427,,Winton ,QLD,4735,-22.3883101,143.03677,4657 1536,4657 1583,qgwinton@tmr.qld.gov.au,,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,
YAC,Yarrabah QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,56 Sawmill Road,,Yarrabah,QLD,4871,56 Sawmill Road,,Yarrabah,QLD,4871,-16.906625,145.865863,4056 9037,4056 0759,yarrabah.qgap@qld.gov.au,,,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00,12:00,,,,,,
JAG,Yeppoon QGAP,Yes,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies. ,Yeppoon Courthouse,Normanby St,Yeppoon ,QLD,4703,PO Box 2259,,Yeppoon ,QLD,4703,-23.127874,150.745671,4939 5385,4939 3023,courthouse.yeppoon@justice.qld.gov.au,,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,
