Office,Service_Type,Address_StreetNumber_StreetName,Address_Suburb,Address_Postcode,Address_State,Postal_Address_PostBox_or_StreetNumber_StreetName,Postal_Address_Suburb,Postal_Address_Postcode,Postal_Address_State,Phone,Fax,Other,TTY,TIS,Twitter,Region,Email,Latitude,Longitude
Office of the Public Guardian (Townsville),Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 4760 9688,(blank),13 74 68,(blank),(blank),(blank),North Queensland,Adultguardian.townsville@justice.qld.gov.au,,
Support and Services,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),disabilityinfo@disability.qld.gov.au,,
Funding,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),disabilityinfo@disability.qld.gov.au,,
South Brisbane,Disability Services,Level 1  55 Russell Street (cnr Edmondstone),South Brisbane,4101,QLD,PO Box 3389,South Brisbane,4101,QLD,07 3109 7010,07 3109 7030,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.47824014,153.014306
Mt Gravatt Disability Services,Disability Services,"Level 1, Block A Garden Square Complex 643 Kessels Road",Upper Mt Gravatt,4122,QLD,PO Box 6461,Upper Mt Gravatt,4122,QLD,07 3877 8800,07 3877 8877,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.56103304,153.0780283
Nundah Disability Services,Disability Services,1159 Sandgate Road,Nundah,4012,QLD,PO Box 151,Nundah,4012,QLD,07 3406 9000,07 3406 9077,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.40426338,153.0606615
Oxley Disability Services,Disability Services,"Level 1, The Station Oxley, 133 Oxley Station Road",Oxley,4076,QLD,PO Box 6716,Upper Mt Gravatt,4122,QLD,07 3274 9715,07 3877 8873,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.55372854,152.9737235
Beenleigh Disability services,Disability Services,24 Tansey Street,Beenleigh,4207,QLD,PO Box 1158,Beenleigh,4207,QLD,07 3884 7001,07 3884 7044,(blank),(blank),(blank),(blank),South East,(blank),-27.71998981,153.2023777
Robina Disability Services,Disability Services,"Level 2, Campus Alpha 2 Investigator Drive",Robina,4226,QLD,PO Box 8338 GCMC,Bundall,9726,QLD,07 5656 5800,07 55808274,(blank),(blank),(blank),(blank),South East,(blank),-28.0741319,153.3750433
Caboolture Disability Services,Disability Services,"Level 1, 12 King Street",Caboolture,4510,QLD,PO Box 1126,Caboolture,4510,QLD,07 5431 2250,07 5495 1945,(blank),(blank),(blank),(blank),North Coast,(blank),-27.08502802,152.9535
Strathpine Disability Services,Disability Services,"Level 1, 454 Gympie Road",Strathpine,4500,QLD,PO Box 181,Strathpine,4500,QLD,07 3881 5600,07 3881 5656,(blank),(blank),(blank),(blank),North Coast,(blank),-27.3021707,152.9877897
Maroochydore Disability Services,Disability Services,"Level 2, 12 First Avenue",Maroochydore,4558,QLD,PO Box 1177,Maroochydore,4558,QLD,07 5352 7200,07 5352 7212,(blank),(blank),(blank),(blank),North Coast,(blank),-26.6551131,153.0929347
Ipswich Disability Services,Disability Services,"Level 1, ICON Building, 117 Brisbane Street",Ipswich,4305,QLD,PO Box 876,Ipswich,4305,QLD,07 3381 7400,07 3381 7411,(blank),(blank),(blank),(blank),South West,(blank),-27.61389821,152.7596855
Wacol Disability Services,Disability Services,Aveyron Road,Wacol,4376,QLD,PO Box 189,Goodna,4305,QLD,13 74 68,(blank),(blank),(blank),(blank),(blank),South West,(blank),-27.588234,152.911024
Toowoomba  Disability Services,Disability Services,"Level 1, 162 Hume Street",Toowoomba,4350,QLD,PO Box 1058,Toowoomba,4350,QLD,07 4615 3900,07 4615 3991,(blank),(blank),(blank),(blank),South West,(blank),-27.563389,151.9581265
Maryborough Disability Services,Disability Services,271 Albert Street,Maryborough,4650,QLD,PO Box 130,Maryborough,4650,QLD,07 4121 1432,07 4121 1440,(blank),(blank),(blank),(blank),Central Queensland,(blank),-25.54245118,152.698603
Rockhampton  Disability Services,Disability Services,80-82 Denham Street,Rockhampton,4700,QLD,PO Box 8205,Allenstown,4700,QLD,07 4938 6000,07 4938 6011,(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.38114947,150.5079674
Bundaberg Disability Services,Disability Services,"Ground Level, Claude Wharton Building 46 Quay Street",Bundaberg,4670,QLD,PO Box 1694,Bundaberg,4670,QLD,07 4131 5417,07 4131 5405,(blank),(blank),(blank),(blank),Central Queensland,(blank),-24.86575115,152.3468367
Gladstone Disability Services,Disability Services,Government Offices Cnr Oaka Lane and Roseberry Street,Gladstone,4680,QLD,PO Box 5204,Gladstone,4680,QLD,07 4971 0111,07 4972 8903,(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.8413639,151.255713
Mackay Disability Services,Disability Services,"Level 1 Verde Central, 44 Nelson Street",Mackay,4740,QLD,PO Box 532,Mackay,4740,QLD,07 4898 6600,07 4944 6266,(blank),(blank),(blank),(blank),North Queensland,(blank),-21.14540894,149.1812738
Townsville Disability Services,Disability Services,National Bank Building 313-315 Ross River Road,Aitkenvale,4814,QLD,PO Box 1212,Aitkenvale,4814,QLD,07 4799 5250,07 4799 5298,(blank),(blank),(blank),(blank),North Queensland,(blank),-19.29714397,146.7638179
Cairns Disability Services,Disability Services,Ground Level CitiCentral 65-67  Spence Streets,Cairns,4870,QLD,(blank),(blank),(blank),(blank),07 4048 9900,07 4048 9911,(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.9258865,145.7751993
Key Projects,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3224 8444,07 3896 3467,13 74 68,133 677,(blank),(blank),Brisbane,disabilityinfo@disability.qld.gov.au,,
Key Projects -National Disability Agreement,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),13 74 68,(blank),(blank),(blank),Brisbane,NDIS@communities.qld.gov.au,,
Key- Projects -Elderly Parent Carer Innovation Trial,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),13 74 68,(blank),(blank),(blank),Brisbane,DPR_Mailbox@communities.qld.gov.au,,
Key Projects - Positive Behaviour Support,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),1800 902 006,(blank),(blank),(blank),Brisbane,iries_DSA_RP@communities.qld.gov.au.,,
Key Projects -Disability Sector Quality System,Disability Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3247 3072,(blank),1800 034 022,(blank),(blank),(blank),Brisbane,hsqf@communities.qld.gov.au,,
Disability Services Local Area Coordinator - Roma,Disability Services,106 McDowall St,Roma,4455,QLD,PO Box 362,Roma,4455,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-26.57187217,148.7878924
Disability Services Local Area Coordinator - St George,Disability Services,80/90 St Georges Terrace ,St George,4487,QLD,PO Box 505,St George,4487,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-28.03527901,148.5792503
Disability Services Local Area Coordinator - Cunnamulla,Disability Services,5 Stockyard  Street,Cunnamulla,4490,QLD,PO Box 10,Cunnamulla,4490,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-28.07464303,145.6807775
Disability Services Local Area Coordinator - Charleville,Disability Services,81 Galatea St,Charleville,4470,QLD,PO Box 303,Charleville,4470,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-26.40106955,146.2417749
Disability Services Local Area Coordinator - Chinchilla,Disability Services,50 Middle St,Chinchilla,4413,QLD,PO Box 487,Chinchilla,4413,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-26.742326,150.6245049
Disability Services Local Area Coordinator - Warwick,Disability Services,69 Guy Street,Warwick,4370,QLD,PO Box 195,Warwick,4370,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-28.21933878,152.0291709
Disability Services Local Area Coordinator - Dalby,Disability Services,"Level 1, 162 Hume St",Toowoomba,4305,QLD,PO Box 1058,Toowoomba,4405,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-27.563389,151.9581265
Disability Services Local Area Coordinator - Goondiwindi,Disability Services,4/139 Marshall St,Goondiwindi,4390,QLD,PO Box 1323,Goondiwindi,4390,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-28.54686375,150.3085671
Disability Services Local Area Coordinator - Lockyer Valley ,Disability Services,"Twmba Service Centre, Level 1, 162 Hume St",Toowoomba,4350,QLD,PO Box 1058,Toowoomba,4350,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-27.563389,151.9581265
Disability Services Local Area Coordinator - Pomona,Disability Services,"Level 2, 12 First Avenue",Maroochydore,4558,QLD,PO Box 1177,Maroochydore,4558,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Coast,(blank),-26.6551131,153.0929347
Disability Services Local Area Coordinator - Maroochydore,Disability Services,"Level 4, 12 First Avenue",Maroochydore,4558,QLD,PO Box 1177,Maroochydore,4558,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Coast,(blank),-26.6551131,153.0929347
Disability Services Local Area Coordinator - Gympie,Disability Services,"Shop 2, 15 Wickham St (Bruce Hwy)",Gympie,4570,QLD,PO Box 1220,Gympie,4570,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Coast,(blank),-26.1912349,152.6573901
Disability Services Local Area Coordinator - Gympie,Disability Services,"Shop 2, 15 Wickham St (Bruce Hwy)",Gympie,4570,QLD,PO Box 1220,Gympie,4570,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Coast,(blank),-26.1912349,152.6573901
Disability Services Local Area Coordinator - Hervey Bay,Disability Services,4/166 Boat Harbour Drive,Hervey Bay,4655,QLD,PO Box 567,Hervey Bay,4655,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-25.2874245,152.8368727
Disability Services Local Area Coordinator - Hervey Bay,Disability Services,"Level 1, Brendan Hansen Building, 50-54 Main Street",Pialba,4655,QLD,PO Box 1409,Hervey Bay,4655,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-25.28505291,152.8392876
Disability Services Local Area Coordinator - Mundubbera,Disability Services,"Bloxsome Building, 28 Lyons Street",Mundubbera,4626,QLD,PO Box 213,Mundubbera,4626,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-25.59174821,151.2993419
Disability Services Local Area Coordinator - Gin Gin,Disability Services,"Shop 2, 40 Mulgrave St",Gin Gin,4671,QLD,PO Box 37,Gin Gin,4671,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-24.99038222,151.9557812
Disability Services Local Area Coordinator - Murgon,Disability Services,27 Lamb St,Murgon,4605,QLD,PO Box 207,Murgon,4605,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-26.2452703,151.9439457
Disability Services Local Area Coordinator - Murgon,Disability Services,27 Lamb St,Murgon,4605,QLD,PO Box 207,Murgon,4605,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-26.2452703,151.9439457
Disability Services Local Area Coordinator - Kingaroy,Disability Services,"Shop 2, 203 Kingaroy Street",Kingaroy,4610,QLD,PO Box 809,Kingaroy,4610,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-26.5398047,151.8390769
Disability Services Local Area Coordinator - Nanango,Disability Services,26A Fitzroy St,Nanango,4615,QLD,PO Box 413,Nanango,4615,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-26.6719633,152.0003643
Disability Services Local Area Coordinator - Emerald,Disability Services,56 Theresa St,Emerald,4720,QLD,PO Box 1984,Emerald,4720,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.52171861,148.1627314
Disability Services Local Area Coordinator - Blackwater,Disability Services,"Shop 14, Town Centre, 8 Blain St",Blackwater,4714,QLD,PO Box 162,Blackwater,4714,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.57477281,148.8890915
Disability Services Local Area Coordinator - Biloela,Disability Services,"Shop 8, Shopping World,  2 Gladstone Road",Biloela,4715,QLD,PO Box 416,Biloela,4715,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-24.40314241,150.5135925
Disability Services Local Area Coordinator - Longreach,Disability Services,"Gordon Gibson Arcade, 113 Eagle St",Longreach,4730,QLD,PO Box 2509,Longreach,4730,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Central Queensland,(blank),-23.4420775,144.2485269
Disability Services Local Area Coordinator - Whitsunday Islands,Disability Services,"Suite 14, 121 Shute Harbour Road",Cannonvale,4802,QLD,PO Box 1068,Cannonvale,4802,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-20.27792746,148.6910194
Disability Services Local Area Coordinator - Dysart,Disability Services,"Shop 19, Garden Plaza, 18  Queen Elizabeth Drive",Dysart,4745,QLD,PO Box 8,Dysart,4745,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-22.58706372,148.3501847
Disability Services Local Area Coordinator - Mt Isa,Disability Services,"Shop 5, Simpson Central Arcade, 23 -25 Simpson Street",Mt Isa,4825,QLD,PO Box 2105,Mt Isa,4825,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-20.72624432,139.4939695
Disability Services Local Area Coordinator - Mt Isa,Disability Services,"Shop 5, Simpson Central Arcade, 23 -25 Simpson Street",Mt Isa,4825,QLD,PO Box 2105,Mt Isa,4825,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-20.72624432,139.4939695
Disability Services Local Area Coordinator - Normanton,Disability Services,"Level 36, Landsborough Street ",Normanton,4890,QLD,PO Box 158,Normanton,4890,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-17.67418852,141.0753758
Disability Services Local Area Coordinator - Cloncurry,Disability Services,2/27 Ramsay Street,Cloncurry,4824,QLD,PO Box 429,Cloncurry,4824,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-20.70654923,140.5076168
Disability Services Local Area Coordinator - Charters Towers,Disability Services,"Level Ground,5/26 Boundary St",Charters Towers,4820,QLD,PO Box 1675,Charters Towers,4820,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-20.07033306,146.2646067
Disability Services Local Area Coordinator - TablelandùInnisfail,Disability Services,"Shop 3, 180 Edith St",Innisfail,4860,QLD,PO Box 2437,Innisfail,4860,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-17.52433308,146.0217375
Disability Services Local Area Coordinator - Innisfail,Disability Services,"Shop 3, 180 Edith St",Innisfail,4860,QLD,PO Box 2437,Innisfail,4860,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-17.52433308,146.0217375
Disability Services Local Area Coordinator - Mareeba,Disability Services,2/ 147 Walsh St,Mareeba,4880,QLD,PO Box 421,Mareeba,4880,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.99322417,145.4240848
Disability Services Local Area Coordinator - Atherton,Disability Services,"Unit 6, 154 Robert Street",Atherton,4883,QLD,PO Box 1059,Atherton,4883,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-17.26985828,145.4903846
Disability Services Local Area Coordinator - CardwellùTully,Disability Services,37 Morris Street,Tully,4854,QLD,PO Box 401,Tully,4854,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-17.9345559,145.9241068
Disability Services Local Area Coordinator - Mossman,Disability Services,"Shop 4, Mount Demi û View Plaza, 53 Front Street",Mossman,4873,QLD,PO Box 633,Mossman,4873,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.46361084,145.3731145
Disability Services Local Area Coordinator - Yarrabah,Disability Services,1D/455 Varley Street,Yorkeys Knob,4878,QLD,PO Box 294,Yorkeys Knob,4878,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.81191507,145.7205131
Disability Services Local Area Coordinator - Barron RiverùCairns,Disability Services,"1D, 455 Varley Street",Yorkeys Knob,4878,QLD,PO Box 294,Yorkeys Knob,4878,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-16.81191507,145.7205131
Disability Services Local Area Coordinator - Cooktown,Disability Services,95 Charlotte  St,Cooktown,4895,QLD,PO Box 758,Cooktown,4895,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-15.46928608,145.2482743
Disability Services Local Area Coordinator - Thursday Island,Disability Services,161 Douglas Street,Thursday Island,4875,QLD,PO Box 822,Thursday Island,4875,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-10.58686293,142.2124268
Disability Services Local Area Coordinator - Moa Island,Disability Services,"Community Hall, Meimalgau Yabu, Kubin",Moa Island,4875,QLD,PO Box 92,Kubin,4875,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-10.205901,142.256313
Disability Services Local Area Coordinator - Northern Peninsula Area (NPA)  ,Disability Services,81 Brown St,New Mapoon,4876,QLD,PO Box 192,Bamaga,4876,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-10.869,142.386
Disability Services Local Area Coordinator - Weipa,Disability Services,"Building 32 of SPQ, Central Avenue, Rocky Point",Weipa,4874,QLD,PO Box 233,Weipa,4874,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-12.62683416,141.87965
Disability Services Local Area Coordinator - Bamaga-NPA,Disability Services,Adidi Street,Bamaga,4876,QLD,PO Box 192,Bamaga,4876,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Far North Queensland,(blank),-10.89044,142.387677
Disability Services Local Area Coordinator - Bowen,Disability Services,"Bowen Village, Cnr Herbert and Livingstone Street",Bowen,4805,QLD,PO Box 665,Bowen,4805,QLD,(blank),(blank),(blank),(blank),(blank),(blank),North Queensland,(blank),-20.00796482,148.2432191
Disability Services Local Area Coordinator - Oxley,Disability Services,"Level Ground,Block A, Garden Square Complex, 643 Kessels Road ",Upper Mt Gravatt,4122,QLD,PO Box 6716,Upper Mt Gravatt Goodna,4300,QLD,(blank),(blank),(blank),(blank),(blank),(blank),Brisbane,(blank),-27.56103304,153.0780283
Disability Services Local Area Coordinator - Gatton,Disability Services,"Twmba Service Centre, Level 1, 162 Hume St",Toowoomba,4350,QLD,PO Box 1058,Toowoomba,4350,QLD,(blank),(blank),(blank),(blank),(blank),(blank),South West,(blank),-27.563389,151.9581265
Brisbane Regional Office - Social Inclusion,Community Services,Level 1 55 Russell Street (cnr Edmondstone),South Brisbane ,4001,Qld,PO Box 3022,South Brisbane ,4101,QLD,07 3109 7007,07 3109 7030,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.47824014,153.014306
Cairns Community  Services Funding and Support,Community Services,Level 2 5B Sheridan Street William McCormack Place 1,Cairns,4870,QLD,PO Box 1696,Cairns,4870,QLD,07 4036 5400,07 4036 5572,(blank),(blank),(blank),(blank),Far North Queensland ,(blank),-16.92737832,145.7759293
Townsville Community Capacity and Service Quality,Community Services,Level 2 Suncorp Plaza Building 61 Sturt Street,Townsville,4810,QLD,PO Box 588,Townsville,4810,QLD,07 4760 7300,07 4760 7305,(blank),(blank),(blank),(blank),North Queensland ,(blank),-19.2581605,146.8161877
Mackay Community Capacity and Service Quality,Community Services,Level 2 Healthpoint Pharmacy Building 67-69 Sydney Street,Mackay,4740,QLD,PO Box 858,Mackay,4740,QLD,07 4967 4420,07 4967 4425,(blank),(blank),(blank),(blank),North Queensland,(blank),-21.14315087,149.187274
Mount Isa Community Services Service Centre,Community Services,"Shop 5, Simpson Arcade, 23-25 Simpson Street",Mount Isa,4825,QLD,PO Box 1843,Mount Isa,4825,QLD,07 47472071,07 4747 2076,(blank),(blank),(blank),(blank),North Queensland,(blank),-20.72624432,139.4939695
Rockhampton Regional Service Centre,Community Services,Level 3 State Government Building 209 Bolsover Street,Rockhampton,4700,QLD,PO Box 1503,Rockhampton,4700,QLD,07 4938 6996,07 4938 4867,(blank),(blank),(blank),(blank),Central Queensland ,(blank),-23.38150723,150.5146771
Hervey Bay Community  Services,Community Services,Level 1 Brendan Hansen Building 50-54 Main Street,Hervey Bay,4655,QLD,PO Box 1490,Hervey Bay,4655,QLD,07 4125 9398,07 4125 9397,(blank),(blank),(blank),(blank),Central Queensland ,(blank),-25.28505291,152.8392876
Bundaberg Disability Service Centre,Community Services,"Ground Level, Claude Wharton Building 46 Quay Street",Bundaberg,4670,QLD,PO Box 1047,Bundaberg,4670,QLD,07 4131 5417,07 4131 5612,(blank),(blank),(blank),(blank),Central Queensland ,(blank),-24.86575115,152.3468367
Gladstone Disability Service Centre,Community Services,Government Offices Cnr Oaka Lane and Roseberry Street,Gladstone,4680,QLD,PO Box 5204,Gladstone,4680,QLD,07 4971 0111,07 4972 8903,(blank),(blank),(blank),(blank),Central Queensland ,(blank),-23.8413639,151.255713
Maryborough Disability Service Centre,Community Services,271 Albert Street,Maryborough,4650,QLD,PO Box 130,Maryborough,4650,QLD,07 4121 1432,07 4121 1440,(blank),(blank),(blank),(blank),Central Queensland,(blank),-25.54245118,152.698603
Toowoomba Community Capacity and Service Quality,Community Services,Level 6 10 Russell Street,Toowoomba,4350,QLD,PO Box 2427,Toowoomba,4350,QLD,07 4699 4222,07 4699 4244,(blank),(blank),(blank),(blank),South West,(blank),-27.55966663,151.9549569
Maroochydore Community Funding and Support ,Community Services,Level 3 12 First Avenue,Maroochydore,4558,QLD,PO Box 972,Maroochydore,4558,QLD,07 5352 7291,07 5352 7260,(blank),(blank),(blank),(blank),North Coast,(blank),-26.6551131,153.0929347
Caboolture Community Capacity and Service Quality,Community Services,Level 2 Town Square Precinct 33 King Street (Cnr Beerburrum Road),Caboolture,4510,QLD,PO Box 954,Caboolture,4510,QLD,075490 1058,07 54281518,(blank),(blank),(blank),(blank),North Coast ,(blank),-27.08430237,152.9513417
Gold Coast Community Capacity and Service Quality,Community Services,"Level 2, Campus Alpha, 2 Investigator Drive",Robina,4226,QLD,PO Box 4387,Robina,4230,QLD,07 56565868,07 5575 7970,(blank),(blank),(blank),(blank),South East,(blank),-28.07543079,153.3785198
South East Placement Services  and Support Unit,Community Services,Level 1 100 George Street,Beenleigh,4207,QLD,PO Box 1107,Beenleigh,4207,QLD,07 3884 8800,07 3884 7090,(blank),(blank),(blank),(blank),South East,(blank),-27.71681748,153.2044777
Violence Prevention - DVConnect Womensline,Community Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),1800 811 811 ,(blank),(blank),(blank),Brisbane,(blank),,
Crisis Care,Community Services,26 Merivale Street,South Brisbane,4101,Qld,(blank),(blank),(blank),(blank),07 3235 9999,(blank),1800 177 135,(blank),(blank),(blank),Brisbane,(blank),-27.47439975,153.0156609
Community Recovery,Community Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),1800 173 349,(blank),(blank),(blank),Brisbane,(blank),,
Office for Volunteering,Community Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3224 5602,07 3008 5198,(blank),(blank),(blank),(blank),Brisbane,volunteering@communities.qld.gov.au,,
Strengthening Non-government Organisations,Community Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Brisbane,sngos@communities.qld.gov.au,,
